size_key,width_mm,aspect_ratio,rim_diameter_in,approved_rim_width_in,rim_contour,series,source_page
235_35_R15,235,35,15,8.5,J,35,P.39
235_35_R15,235,35,15,9,J,35,P.39
235_35_R15,235,35,15,9.5,J,35,P.39
235_35_R18,235,35,18,8,J,35,P.39
235_35_R18,235,35,18,8.5,J,35,P.39
235_35_R18,235,35,18,9,J,35,P.39
235_35_R18,235,35,18,9.5,J,35,P.39
235_35_R19,235,35,19,8,J,35,P.39
235_35_R19,235,35,19,8.5,J,35,P.39
235_35_R19,235,35,19,9,J,35,P.39
235_35_R19,235,35,19,9.5,J,35,P.39
235_35_R20,235,35,20,8,J,35,P.39
235_35_R20,235,35,20,8.5,J,35,P.39
235_35_R20,235,35,20,9,J,35,P.39
235_35_R20,235,35,20,9.5,J,35,P.39
245_35_R15,245,35,15,8,J,35,P.39
245_35_R15,245,35,15,8.5,J,35,P.39
245_35_R15,245,35,15,9,J,35,P.39
245_35_R15,245,35,15,9.5,J,35,P.39
245_35_R16,245,35,16,8,J,35,P.39
245_35_R16,245,35,16,8.5,J,35,P.39
245_35_R16,245,35,16,9,J,35,P.39
245_35_R16,245,35,16,9.5,J,35,P.39
245_35_R17,245,35,17,8,J,35,P.39
245_35_R17,245,35,17,8.5,J,35,P.39
245_35_R17,245,35,17,9,J,35,P.39
245_35_R17,245,35,17,9.5,J,35,P.39
245_35_R18,245,35,18,8,J,35,P.39
245_35_R18,245,35,18,8.5,J,35,P.39
245_35_R18,245,35,18,9,J,35,P.39
245_35_R18,245,35,18,9.5,J,35,P.39
245_35_R19,245,35,19,8,J,35,P.39
245_35_R19,245,35,19,8.5,J,35,P.39
245_35_R19,245,35,19,9,J,35,P.39
245_35_R19,245,35,19,9.5,J,35,P.39
245_35_R20,245,35,20,8,J,35,P.39
245_35_R20,245,35,20,8.5,J,35,P.39
245_35_R20,245,35,20,9,J,35,P.39
245_35_R20,245,35,20,9.5,J,35,P.39
245_35_R21,245,35,21,8,J,35,P.39
245_35_R21,245,35,21,8.5,J,35,P.39
245_35_R21,245,35,21,9,J,35,P.39
245_35_R21,245,35,21,9.5,J,35,P.39
245_35_R22,245,35,22,8,J,35,P.39
245_35_R22,245,35,22,8.5,J,35,P.39
245_35_R22,245,35,22,9,J,35,P.39
245_35_R22,245,35,22,9.5,J,35,P.39
255_35_R14,255,35,14,8.5,J,35,P.39
255_35_R14,255,35,14,9,J,35,P.39
255_35_R14,255,35,14,9.5,J,35,P.39
255_35_R14,255,35,14,10,J,35,P.39
255_35_R16,255,35,16,8.5,J,35,P.39
255_35_R16,255,35,16,9,J,35,P.39
255_35_R16,255,35,16,9.5,J,35,P.39
255_35_R16,255,35,16,10,J,35,P.39
255_35_R18,255,35,18,8.5,J,35,P.39
255_35_R18,255,35,18,9,J,35,P.39
255_35_R18,255,35,18,9.5,J,35,P.39
255_35_R18,255,35,18,10,J,35,P.39
255_35_R19,255,35,19,8.5,J,35,P.39
255_35_R19,255,35,19,9,J,35,P.39
255_35_R19,255,35,19,9.5,J,35,P.39
255_35_R19,255,35,19,10,J,35,P.39
255_35_R20,255,35,20,8.5,J,35,P.39
255_35_R20,255,35,20,9,J,35,P.39
255_35_R20,255,35,20,9.5,J,35,P.39
255_35_R20,255,35,20,10,J,35,P.39
255_35_R21,255,35,21,8.5,J,35,P.39
255_35_R21,255,35,21,9,J,35,P.39
255_35_R21,255,35,21,9.5,J,35,P.39
255_35_R21,255,35,21,10,J,35,P.39
255_35_R22,255,35,22,8.5,J,35,P.39
255_35_R22,255,35,22,9,J,35,P.39
255_35_R22,255,35,22,9.5,J,35,P.39
255_35_R22,255,35,22,10,J,35,P.39
265_35_R17,265,35,17,9,J,35,P.39
265_35_R17,265,35,17,9.5,J,35,P.39
265_35_R17,265,35,17,10,J,35,P.39
265_35_R17,265,35,17,10.5,J,35,P.39
265_35_R18,265,35,18,9,J,35,P.39
265_35_R18,265,35,18,9.5,J,35,P.39
265_35_R18,265,35,18,10,J,35,P.39
265_35_R18,265,35,18,10.5,J,35,P.39
265_35_R19,265,35,19,9,J,35,P.39
265_35_R19,265,35,19,9.5,J,35,P.39
265_35_R19,265,35,19,10,J,35,P.39
265_35_R19,265,35,19,10.5,J,35,P.39
265_35_R20,265,35,20,9,J,35,P.39
265_35_R20,265,35,20,9.5,J,35,P.39
265_35_R20,265,35,20,10,J,35,P.39
265_35_R20,265,35,20,10.5,J,35,P.39
265_35_R21,265,35,21,9,J,35,P.39
265_35_R21,265,35,21,9.5,J,35,P.39
265_35_R21,265,35,21,10,J,35,P.39
265_35_R21,265,35,21,10.5,J,35,P.39
265_35_R22,265,35,22,9,J,35,P.39
265_35_R22,265,35,22,9.5,J,35,P.39
265_35_R22,265,35,22,10,J,35,P.39
265_35_R22,265,35,22,10.5,J,35,P.39
265_35_R23,265,35,23,9,J,35,P.39
265_35_R23,265,35,23,9.5,J,35,P.39
265_35_R23,265,35,23,10,J,35,P.39
265_35_R23,265,35,23,10.5,J,35,P.39
275_35_R17,275,35,17,9,J,35,P.39
275_35_R17,275,35,17,9.5,J,35,P.39
275_35_R17,275,35,17,10,J,35,P.39
275_35_R17,275,35,17,10.5,J,35,P.39
275_35_R17,275,35,17,11,J,35,P.39
275_35_R18,275,35,18,9,J,35,P.39
275_35_R18,275,35,18,9.5,J,35,P.39
275_35_R18,275,35,18,10,J,35,P.39
275_35_R18,275,35,18,10.5,J,35,P.39
275_35_R18,275,35,18,11,J,35,P.39
275_35_R19,275,35,19,9,J,35,P.39
275_35_R19,275,35,19,9.5,J,35,P.39
275_35_R19,275,35,19,10,J,35,P.39
275_35_R19,275,35,19,10.5,J,35,P.39
275_35_R19,275,35,19,11,J,35,P.39
275_35_R20,275,35,20,9,J,35,P.39
275_35_R20,275,35,20,9.5,J,35,P.39
275_35_R20,275,35,20,10,J,35,P.39
275_35_R20,275,35,20,10.5,J,35,P.39
275_35_R20,275,35,20,11,J,35,P.39
275_35_R21,275,35,21,9,J,35,P.39
275_35_R21,275,35,21,9.5,J,35,P.39
275_35_R21,275,35,21,10,J,35,P.39
275_35_R21,275,35,21,10.5,J,35,P.39
275_35_R21,275,35,21,11,J,35,P.39
275_35_R22,275,35,22,9,J,35,P.39
275_35_R22,275,35,22,9.5,J,35,P.39
275_35_R22,275,35,22,10,J,35,P.39
275_35_R22,275,35,22,10.5,J,35,P.39
275_35_R22,275,35,22,11,J,35,P.39
275_35_R23,275,35,23,9,J,35,P.39
275_35_R23,275,35,23,9.5,J,35,P.39
275_35_R23,275,35,23,10,J,35,P.39
275_35_R23,275,35,23,10.5,J,35,P.39
275_35_R23,275,35,23,11,J,35,P.39
275_35_R24,275,35,24,9,J,35,P.39
275_35_R24,275,35,24,9.5,J,35,P.39
275_35_R24,275,35,24,10,J,35,P.39
275_35_R24,275,35,24,10.5,J,35,P.39
275_35_R24,275,35,24,11,J,35,P.39
285_35_R18,285,35,18,9.5,J,35,P.39
285_35_R18,285,35,18,10,J,35,P.39
285_35_R18,285,35,18,10.5,J,35,P.39
285_35_R18,285,35,18,11,J,35,P.39
285_35_R19,285,35,19,9.5,J,35,P.39
285_35_R19,285,35,19,10,J,35,P.39
285_35_R19,285,35,19,10.5,J,35,P.39
285_35_R19,285,35,19,11,J,35,P.39
285_35_R20,285,35,20,9.5,J,35,P.39
285_35_R20,285,35,20,10,J,35,P.39
285_35_R20,285,35,20,10.5,J,35,P.39
285_35_R20,285,35,20,11,J,35,P.39
285_35_R21,285,35,21,9.5,J,35,P.39
285_35_R21,285,35,21,10,J,35,P.39
285_35_R21,285,35,21,10.5,J,35,P.39
285_35_R21,285,35,21,11,J,35,P.39
285_35_R22,285,35,22,9.5,J,35,P.39
285_35_R22,285,35,22,10,J,35,P.39
285_35_R22,285,35,22,10.5,J,35,P.39
285_35_R22,285,35,22,11,J,35,P.39
285_35_R23,285,35,23,9.5,J,35,P.39
285_35_R23,285,35,23,10,J,35,P.39
285_35_R23,285,35,23,10.5,J,35,P.39
285_35_R23,285,35,23,11,J,35,P.39
285_35_R24,285,35,24,9.5,J,35,P.39
285_35_R24,285,35,24,10,J,35,P.39
285_35_R24,285,35,24,10.5,J,35,P.39
285_35_R24,285,35,24,11,J,35,P.39
295_35_R18,295,35,18,10,J,35,P.39
295_35_R18,295,35,18,10.5,J,35,P.39
295_35_R18,295,35,18,11,J,35,P.39
295_35_R18,295,35,18,11.5,J,35,P.39
295_35_R19,295,35,19,10,J,35,P.39
295_35_R19,295,35,19,10.5,J,35,P.39
295_35_R19,295,35,19,11,J,35,P.39
295_35_R19,295,35,19,11.5,J,35,P.39
295_35_R20,295,35,20,10,J,35,P.39
295_35_R20,295,35,20,10.5,J,35,P.39
295_35_R20,295,35,20,11,J,35,P.39
295_35_R20,295,35,20,11.5,J,35,P.39
295_35_R21,295,35,21,10,J,35,P.39
295_35_R21,295,35,21,10.5,J,35,P.39
295_35_R21,295,35,21,11,J,35,P.39
295_35_R21,295,35,21,11.5,J,35,P.39
295_35_R22,295,35,22,10,J,35,P.39
295_35_R22,295,35,22,10.5,J,35,P.39
295_35_R22,295,35,22,11,J,35,P.39
295_35_R22,295,35,22,11.5,J,35,P.39
295_35_R23,295,35,23,10,J,35,P.39
295_35_R23,295,35,23,10.5,J,35,P.39
295_35_R23,295,35,23,11,J,35,P.39
295_35_R23,295,35,23,11.5,J,35,P.39
295_35_R24,295,35,24,10,J,35,P.39
295_35_R24,295,35,24,10.5,J,35,P.39
295_35_R24,295,35,24,11,J,35,P.39
295_35_R24,295,35,24,11.5,J,35,P.39
305_35_R18,305,35,18,10,J,35,P.39
305_35_R18,305,35,18,10.5,J,35,P.39
305_35_R18,305,35,18,11,J,35,P.39
305_35_R18,305,35,18,11.5,J,35,P.39
305_35_R18,305,35,18,12,J,35,P.39
305_35_R19,305,35,19,10,J,35,P.39
305_35_R19,305,35,19,10.5,J,35,P.39
305_35_R19,305,35,19,11,J,35,P.39
305_35_R19,305,35,19,11.5,J,35,P.39
305_35_R19,305,35,19,12,J,35,P.39
305_35_R20,305,35,20,10,J,35,P.39
305_35_R20,305,35,20,10.5,J,35,P.39
305_35_R20,305,35,20,11,J,35,P.39
305_35_R20,305,35,20,11.5,J,35,P.39
305_35_R20,305,35,20,12,J,35,P.39
305_35_R21,305,35,21,10,J,35,P.39
305_35_R21,305,35,21,10.5,J,35,P.39
305_35_R21,305,35,21,11,J,35,P.39
305_35_R21,305,35,21,11.5,J,35,P.39
305_35_R21,305,35,21,12,J,35,P.39
305_35_R22,305,35,22,10,J,35,P.39
305_35_R22,305,35,22,10.5,J,35,P.39
305_35_R22,305,35,22,11,J,35,P.39
305_35_R22,305,35,22,11.5,J,35,P.39
305_35_R22,305,35,22,12,J,35,P.39
305_35_R23,305,35,23,10,J,35,P.39
305_35_R23,305,35,23,10.5,J,35,P.39
305_35_R23,305,35,23,11,J,35,P.39
305_35_R23,305,35,23,11.5,J,35,P.39
305_35_R23,305,35,23,12,J,35,P.39
305_35_R24,305,35,24,10,J,35,P.39
305_35_R24,305,35,24,10.5,J,35,P.39
305_35_R24,305,35,24,11,J,35,P.39
305_35_R24,305,35,24,11.5,J,35,P.39
